""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"vOTU_56646"	60.4289159965058	-24.7063695712877	3.03502242748353	-8.14042405339749	3.938958529575e-16	6.6962295002775e-15	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Alexanderviridae"
"vOTU_56934"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Christianviridae"
"vOTU_579"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Lukasviridae"
"vOTU_5878"	1715.90033372139	12.2999702757001	1.8463694003787	6.66170608827104	2.70666907552462e-11	0.000000000184053497135674	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Dinaviridae"
"vOTU_59748"	261.399274851229	9.58536545021037	2.09469945607782	4.576009900799	0.00000473928125240747	0.0000268559270969757	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Najaviridae"
"vOTU_59821"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Agnesviridae"
"vOTU_60410"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC4"	"Adrianviridae"
"vOTU_60650"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC6"	"Mikkelineviridae"
"vOTU_66446"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Emilviridae"
"vOTU_688"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC8"	"Saraviridae"
"vOTU_68827"	56.902879929243	2.45657506329619	1.35274687366071	1.81599019826109	0.0693718757112754	0.0982768239243068	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Thorviridae"
"vOTU_68973"	6.59413554087629	4.27854781186032	3.2326869206363	1.32352681125649	0.18566024618194	0.225444584649498	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Ebbeviridae"
"vOTU_70533"	0.448069147829477	0.400026514307835	4.45762376075167	0.0897398559811114	0.928493943205799	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Rasmusviridae"
"vOTU_73052"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Karenviridae"
"vOTU_73197"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Amandaviridae"
"vOTU_73344"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Martinviridae"
"vOTU_7554"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Irisviridae"
"vOTU_76310"	115.550753884698	8.40739123118495	1.89559195119776	4.43523260682375	0.00000919729268131557	0.0000347453279071921	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC8"	"Pippiviridae"
"vOTU_766"	5.01849350431146	3.88464449312977	2.54920855635801	1.52386295873715	0.127542948198938	0.16678693226015	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC3"	"Peterviridae"
"vOTU_76916"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC9"	"Majaviridae"
"vOTU_7727"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Nathalieviridae"
"vOTU_77991"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Mathildeviridae"
"vOTU_78368"	0	NA	NA	NA	NA	NA	"Bamfordvirae"	"Nucleocytoviricota"	"Megaviricetes"	"Unclassified_Megaviricetes"	"Unclassified_Megaviricetes"
"vOTU_79139"	0.238618408692443	-0.485659743036735	4.49959332419047	-0.107934141609144	0.914047934225077	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Celinaviridae"
"vOTU_80990"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC2"	"Lasseviridae"
"vOTU_81809"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC1"	"Frederikviridae"
"vOTU_8299"	10.0714178586622	2.25915866778565	2.02074483926657	1.11798314358463	0.263574192692175	0.309018019018412	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Crassvirales"	"Frejaviridae"
"vOTU_83044"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"VOC4"	"Ellinorviridae"
