,Domain,Phylum,Class,Order,Family,Genus
vOTU_987,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1016,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1032,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1044,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1068,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1084,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1103,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1104,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1106,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1108,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1124,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1125,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1136,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1138,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1144,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1152,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1153,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1160,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1165,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1176,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1177,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1178,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1184,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1191,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1211,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1216,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1223,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1230,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1236,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1245,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1248,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1265,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1266,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1271,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1285,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1293,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1299,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1301,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1315,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1327,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1340,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1342,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1348,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1352,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1363,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1375,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1381,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1397,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1406,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1435,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1469,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1494,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1519,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1558,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
vOTU_1580,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
