Column1,Kingdom,Phylum,Class,Order,Family
vOTU_75518,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_76530,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_81332,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_87805,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_94283,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_96152,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_36503,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_38745,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_46786,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_50972,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_54950,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_71996,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_72997,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_75178,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_82211,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_80152,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_70988,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_49782,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_122992,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_69728,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_71384,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_79881,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_129995,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_124627,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_76256,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_89000,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_65912,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_56792,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_61910,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_67592,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_139712,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_62397,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_79220,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_69280,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_130468,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_54414,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_59355,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_67301,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_47303,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_77969,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_65733,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_69097,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_66271,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
vOTU_42624,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae
