vOTU	CMS1	CMS10	CMS11	CMS12	CMS13	CMS14	CMS15	CMS16	CMS17	CMS18	CMS19	CMS2	CMS20	CMS21	CMS22	CMS23	CMS24	CMS25	CMS26	CMS27	CMS28	CMS29	CMS3	CMS30	CMS31	CMS32	CMS33	CMS34	CMS35	CMS36	CMS37	CMS38	CMS39	CMS4	CMS40	CMS41	CMS44	CMS45	CMS47	CMS48	CMS5	CMS6	CMS7	CMS8	CMS9	PRE129	PRE174	PRE177	PRE180	PRE181	PRE182	PRE183	PRE185	PRE186	PRE187	PRE189	PRE190	PRE191	PRE192	PRE193	PRE194	PRE195	PRE196	PRE197	PRE198	PRE199	PRE200	PRE203	PRE204	PRE205	PRE207	PRE208	PRE210	PRE211	PRE212	PRE214	PRE237	PRE238	PRE239	PRE327	PRE328	PRE329	PRE330	PRE331
vOTU_56197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.902689078	0	7.92899973	11.93395727	22.3196578	8.334090061	26.7411718	39.27601777	16.39522696	6.150960769	14.1853799	9.439841443	0	1.262386048	0	0	0	0	0	0	0	0	0	0	98.43995469	404.5439656	0	0	14.7476883	73.27586623	0	0	0	0	4.496649685	0	28.89822579	15.96000743	0	16.13633545	0	4.698745095	0	92.27456526	33.56015068	0	0	5.976575757	15.35779972	0	5.538165895	0	0	0	15.54767751	87.9941094	248.4128938	747.4821479	0	0	0	4.300944785	0
vOTU_56233	0	0	0	0	0	8.211696981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.362322239	0	3.305494212	1.990043032	13.88170731	6.064356596	16.19399173	9.324653693	7.953397995	3.516690499	1.774108693	3.777930208	0	0	0	0	0	0	0	0	0	0	0	0	196.9838586	224.1734167	43.8901787	4.56510194	0	23.15196463	0	6.971149418	0	0	0	0	4.818913928	0	0	8.072427583	0	4.701225953	0	36.92931387	14.39051566	0	0	17.93919386	0	0	0	0	0	0	25.92647737	28.70888113	148.0687967	110.7965638	0	0	0	17.21286245	0
vOTU_56279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56289	2.036691806	0	0	1.230845106	544.2569307	0	0	0	35.47126816	23.83632952	0	1.248451589	0	765.8536454	0	0	0	1.43806586	1.620183886	0	0	15.37132616	0	0	0.996073336	0	1.51769178	0	0	0.995225674	15.84183569	0	0.756384758	0.985047821	1.264387718	0	0	143.9255695	75.58673669	0	36.13931102	0	0	0	2.964624329	0	0	0	0	0	7.725479388	0	6.978518498	0	0	0	0	0	0	0	0	0	14.11858661	0	9.242087799	14.40572762	0	0	11.97210471	7.691075707	0	0	5.448807246	0	0	41.52621406	0	0	0	0	4.307374487	0	8.61552893	0
vOTU_56293	0	0	126.1315027	0	38.87549505	8.220377422	48.56267827	0	0	0	0	78.6524501	0	0	0	0	0	40.26584409	0	114.6759623	0	0	0	0	0	0.604190497	0	0	0	0	0	0	0	90.62439957	0	0	0	0	0	0	0	65.91087579	0	0	38.54011628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56310	0	0.453368185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.824007917	0	0	0	0	451.7947715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271.3645927	0	0	0
vOTU_56370	0	2.268039678	0	0	0	0	12.1470898	0	0	0	0	0	0	0	0	0	0	0	0	0.749912453	0	1.577379983	0	1.324295301	0.99660008	13.90373012	6.833224652	10.57805406	4.669723452	6.970263791	6.163971792	7.700000746	3.405531376	0	0	0	0	0	0	0	0	0	0.835181971	0.669134189	0	65.76545536	224.5290594	87.91961762	0	9.852589225	19.32391195	0	20.94662665	0	0	4.506161371	0	0	7.99688368	0	0	0	9.417368541	0	13.87046281	19.21779423	0	0	11.97843581	7.695142907	0	2.774940341	5.451688688	3.588251658	11.29061557	5.193521748	38.33923558	137.7105807	55.48616919	0	0	0	0	0
vOTU_56381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56411	0	0	2.936394771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.705576727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_56461	0	0	0.587901072	0	70.12414509	156.518076	158.1630872	0	0	0	0	270.2368685	1413.895804	170.5502704	0	0	0	159.9634997	2.435424718	1354.240604	12.87959146	0	1.958939702	0	0	0	0	0	0.668163366	0.498667102	0	2.372995667	1.136980903	197.4269574	0	0	0	0	37.87343904	0	0	0	0.836509061	0	240.6433303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
